global_step,eval/mse,eval/off_center_mse
1,0.0618796832859516,0.0187968425452709
20,0.0106189576908946,0.007040380500257
40,0.0059171039611101,0.0034567792899906
60,0.0045069409534335,0.002564248163253
80,0.0036980246659368,0.0020815124735236
100,0.0030718075577169,0.0017335041193291
120,0.0023894850164651,0.0013677167007699
140,0.0016259150579571,0.0009750603348948
160,0.0011946833692491,0.0007471269927918
180,0.0009354593930765,0.0006009113858453
200,0.0007281863363459,0.0004936478799208
220,0.0006277402862906,0.0004275856481399
240,0.0005373824387788,0.0003710374876391
260,0.0004537031927611,0.0003160973428748
280,0.0005373284802772,0.0003763493732549
300,0.0003677674685604,0.0002599765430204
320,0.0003367986064404,0.0002363320672884
340,0.0004121042147744,0.0002981676661875
360,0.0003010988875757,0.0002122176956618
380,0.0002660888421814,0.0001904262899188
400,0.0003343824937473,0.0002445348072797
420,0.0002250381803605,0.0001655025553191
440,0.0003299539384897,0.0001964095717994
460,0.0002129361237166,0.000157073023729
480,0.0001993672922253,0.0001447705144528
500,0.0002600178413558,0.0001690366916591
520,0.0001770309027051,0.0001298167771892
540,0.0001629403413971,0.0001218093020725
560,0.0003716965438798,0.0001911539293359
580,0.0001562882389407,0.0001171572803286
600,0.0001420445478288,0.0001073983657988
620,0.0002726987877395,0.0001705014001345
640,0.000148711798829,0.0001096903215511
660,0.0001279056305065,9.532642434351146e-05
680,0.0001152338882093,8.818360947770998e-05
700,0.0002616869460325,0.0001880078343674
720,0.0001691342768026,0.0001233324292115
740,0.0001145309724961,8.628291107015684e-05
760,0.0001047093537636,7.876082963775843e-05
780,0.0001564430131111,9.14952834136784e-05
800,9.742491965880616e-05,7.602269033668563e-05
820,9.122252959059551e-05,6.900398147990927e-05
840,0.0001108715732698,7.974392065079883e-05
860,0.0001492667215643,0.0001080332076526
880,8.686495129950345e-05,6.838228000560775e-05
900,8.237517613451928e-05,6.285882409429178e-05
920,7.565759005956352e-05,5.868448715773411e-05
940,0.0002104650775436,9.482147288508712e-05
960,8.10100173112005e-05,6.160899647511542e-05
980,7.10672393324785e-05,5.478365710587241e-05
1000,6.904584006406367e-05,5.272011912893504e-05
1020,9.944198245648296e-05,7.524328248109668e-05
1040,6.49201319902204e-05,5.129610508447513e-05
1060,6.420876161428168e-05,4.9363155994797125e-05
1080,0.0001082448434317,6.669251888524741e-05
1100,6.236684566829354e-05,4.831287151318975e-05
1120,7.365154306171462e-05,5.445075294119306e-05
1140,5.953119762125425e-05,4.694077142630704e-05
1160,5.5930886446731165e-05,4.38288516306784e-05
1180,0.0001062670780811,6.471766391769052e-05
1200,5.598523421213031e-05,4.459112824406475e-05
1220,5.440327731776051e-05,4.060168430441991e-05
1240,8.189145592041314e-05,5.746468377765268e-05
1260,5.164074173080735e-05,4.054685996379703e-05
1280,8.492709457641467e-05,5.832311217091046e-05
1300,5.3829473472433165e-05,3.9657654269831255e-05
1320,4.687635009759106e-05,3.696362182381563e-05
1340,0.0001667516189627,8.229906961787492e-05
1360,5.033752677263692e-05,3.8878570194356143e-05
1380,4.486261968850158e-05,3.494894554023631e-05
1400,0.0001246209139935,4.931121657136828e-05
1420,4.9548576498636976e-05,3.6690067645395175e-05
1440,5.109537960379385e-05,3.578217001631856e-05
1460,4.816266664420255e-05,3.610382918850519e-05
1480,5.118206172483042e-05,3.751902477233671e-05
1500,5.533962394110858e-05,3.685554111143574e-05
1520,5.291989509714767e-05,3.8805414078524336e-05
1540,6.539185415022075e-05,4.317636194173247e-05
1560,4.327980786911212e-05,3.209944043192081e-05
1580,4.462915239855647e-05,3.334448774694465e-05
1600,7.87709213909693e-05,5.946642340859398e-05
1620,3.9189391827676445e-05,3.011689477716573e-05
1640,5.680951653630473e-05,3.3360858651576564e-05
1660,4.807102959603071e-05,3.5466622648527846e-05
1680,3.79915363737382e-05,2.89452636934584e-05
1700,7.47068042983301e-05,4.638958125724457e-05
1720,4.689301204052754e-05,3.441762237343937e-05
1740,3.567408202798106e-05,2.8252821721252985e-05
1760,5.7399745855946094e-05,3.816896423813887e-05
1780,3.47384593624156e-05,2.6732544938568022e-05
1800,6.653505261056125e-05,3.3541335142217577e-05
1820,5.201061139814556e-05,3.1955456506693736e-05
1840,3.665249823825434e-05,2.7461686840979382e-05
1860,4.647987589123659e-05,2.7649242838379e-05
1880,3.213028685422614e-05,2.4425735318800434e-05
1900,5.5054391850717366e-05,3.3268104743910953e-05
1920,3.310500687803142e-05,2.597775346657727e-05
1940,0.0001024022567435,4.619685205398128e-05
1960,4.398761666379869e-05,2.688339009182528e-05
1980,3.241433296352625e-05,2.3767814127495512e-05
2000,3.8811256672488526e-05,2.804706491588149e-05
