global_step,eval/mse,eval/off_center_mse
1,0.0684090107679367,0.0210033990442752
20,0.0326600633561611,0.0215609818696975
40,0.0079407226294279,0.0052036321721971
60,0.0063157635740935,0.0038439847994595
80,0.0055397069081664,0.0032215453684329
100,0.0049449321813881,0.0027839827816933
120,0.0043513653799891,0.0024218002799898
140,0.0038040450308471,0.0021077552810311
160,0.0033082137815654,0.00185718445573
180,0.0027799420058727,0.0015532471006736
200,0.0023609800264239,0.0013556518824771
220,0.0020620648283511,0.0011992700165137
240,0.0015948350774124,0.0009529473609291
260,0.0013267970643937,0.0008105667075142
280,0.0010787812061607,0.0006782383425161
300,0.0008718199678696,0.0005706601659767
320,0.0008208729559555,0.0005485052242875
340,0.0006456704577431,0.0004465404781512
360,0.00052920228336,0.0003779809921979
380,0.0005403831601142,0.0003913346736226
400,0.0004281935980543,0.0003098979359492
420,0.0005546601605601,0.0003857783158309
440,0.000360159901902,0.0002631327952258
460,0.0003198467893525,0.0002347355766687
480,0.0003260832745581,0.0002319410559721
500,0.0002867380098905,0.0002048603346338
520,0.0004624786961358,0.0002917430829256
540,0.0002644137421157,0.0001921839575516
560,0.000230860634474,0.0001710163051029
580,0.0003555311122909,0.0002461577241774
600,0.0002359007194172,0.0001694425591267
620,0.0002043869608314,0.0001510684669483
640,0.0002211522514699,0.0001576860668137
660,0.0001780106395017,0.0001331816310994
680,0.0001962703827302,0.0001405393268214
700,0.0001650961494306,0.0001236788230016
720,0.0001762595202308,0.0001335791603196
740,0.0001526632113382,0.0001153236371465
760,0.0002164747274946,0.0001550657325424
780,0.0001420510670868,0.000107339968963
800,0.0001317053684033,0.0001003685174509
820,0.0001746913476381,0.0001276487892027
840,0.0001313153479713,0.0001001955388346
860,0.0001214743242599,9.281288657803088e-05
880,0.0001138712541433,8.708920358913019e-05
900,0.0001601845433469,0.0001054854365065
920,0.0001089773722924,8.37564657558687e-05
940,0.0001611913321539,0.0001088351491489
960,0.000110314162157,8.300883928313851e-05
980,0.0001146050344686,8.438700024271384e-05
1000,0.0001057671688613,7.932092557894066e-05
1020,0.0001499678910477,0.0001166619986179
1040,9.390983905177563e-05,7.180131069617346e-05
1060,9.380614210385828e-05,7.195206853793934e-05
1080,0.0001016548631014,7.687339530093595e-05
1100,8.419826190220192e-05,6.492801912827417e-05
1120,0.0001274936657864,8.047610754147172e-05
1140,9.926455095410348e-05,7.14254638296552e-05
1160,8.062971755862236e-05,6.171622226247564e-05
1180,0.0001563902187626,8.833701576804742e-05
1200,8.479120151605457e-05,6.432153168134391e-05
1220,7.344083132920787e-05,5.62930727028288e-05
1240,0.0001111560268327,8.371678268304095e-05
1260,7.81687194830738e-05,5.861884710611776e-05
1280,7.831684342818335e-05,5.621667514787987e-05
1300,8.57708728290163e-05,6.23740124865435e-05
1320,6.885534821776673e-05,5.218288424657658e-05
1340,7.068205013638362e-05,5.328395127435215e-05
1360,8.775854075793177e-05,6.775549991289154e-05
1380,6.681689410470426e-05,5.080537448520772e-05
1400,6.80855373502709e-05,5.0609316531335935e-05
1420,8.171939407475293e-05,5.9578287618933246e-05
1440,5.952885840088129e-05,4.582586188917048e-05
1460,5.700694237020798e-05,4.423302016220987e-05
1480,0.0001791852846508,0.0001293635286856
1500,9.247784328181297e-05,6.844593735877424e-05
1520,6.063293039915152e-05,4.562330286717042e-05
1540,5.529928239411674e-05,4.247417746228166e-05
1560,6.407222099369392e-05,4.422919300850481e-05
1580,6.803157884860411e-05,4.837314554606564e-05
1600,5.27379015693441e-05,4.058059130329639e-05
1620,5.0205300794914365e-05,3.871673470712267e-05
1640,8.78750579431653e-05,5.993887316435576e-05
1660,5.3571850003208965e-05,4.143439218751155e-05
1680,4.871681812801398e-05,3.756781734409742e-05
1700,4.74547159683425e-05,3.661412119981833e-05
1720,8.062618144322187e-05,5.86954593018163e-05
1740,5.2466464694589376e-05,4.060044011566788e-05
1760,4.601884211297147e-05,3.531414768076502e-05
1780,4.454090594663285e-05,3.427134288358502e-05
1800,9.395986853633076e-05,4.979419463779777e-05
1820,5.1975475798826665e-05,4.042241198476404e-05
1840,4.933598029310815e-05,3.775860022869893e-05
1860,5.011122630094178e-05,3.812702198047191e-05
1880,4.4793363485950977e-05,3.4316333767492324e-05
1900,4.228640682413243e-05,3.282137186033651e-05
1920,9.204703383147717e-05,5.895756839890964e-05
1940,4.543092654785141e-05,3.418863343540579e-05
1960,4.096763223060407e-05,3.161995846312493e-05
1980,8.864970732247457e-05,5.349361526896246e-05
2000,4.1941424569813535e-05,3.240195292164572e-05
